date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:11	107/107	---M--	200	added ('OK')	text/plain	etag:%229d0924e-6b-4b84444c6aa80%22	http://www.narrowdesign.com/robots.txt		(from )
18:20:12	96280/96280	---M-Z	200	added ('OK')	text/html	etag:%229d08fcf-17818-56a531ecaf2c0%22	http://www.narrowdesign.com/	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/index.html	(from )
18:20:13	647/647	---M--	200	added ('OK')	image/png	etag:%229d08eac-287-54f86dd25b080%22	http://www.narrowdesign.com/favicon-32x32.png	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/favicon-32x32.png	(from http://www.narrowdesign.com/)
18:20:14	300/300	---M--	200	added ('OK')	image/png	etag:%229d08e96-12c-54f86dd166e40%22	http://www.narrowdesign.com/favicon-16x16.png	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/favicon-16x16.png	(from http://www.narrowdesign.com/)
18:20:17	132181/132181	---M--	200	added ('OK')	text/css	etag:%229e0b1cb-20455-550b419847600%22	http://www.narrowdesign.com/ui/assets/styles/css/style.css	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/styles/css/style.css	(from http://www.narrowdesign.com/)
18:20:26	8269/8269	---M--	200	added ('OK')	application/javascript	etag:%229e0b1ad-204d-54fab92e47180%22	http://www.narrowdesign.com/ui/assets/scripts/mousewheel.js	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/scripts/mousewheel.js	(from http://www.narrowdesign.com/)
18:20:31	84245/84245	---M--	200	added ('OK')	application/javascript	etag:%229e0b1a4-14915-54f4291cb2a00%22	http://www.narrowdesign.com/ui/assets/scripts/jquery-2.1.1.min.js	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/scripts/jquery-2.1.1.min.js	(from http://www.narrowdesign.com/)
18:20:35	11120/11120	---M--	200	added ('OK')	image/jpeg	etag:%229e0b007-2b70-54f428f1c84c0%22	http://www.narrowdesign.com/ui/assets/images/projects/gotThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/gotThumb.jpg	(from http://www.narrowdesign.com/)
18:20:38	13987/13987	---M--	200	added ('OK')	image/jpeg	etag:%229e0af86-36a3-54f428ec0f740%22	http://www.narrowdesign.com/ui/assets/images/projects/fltvThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/fltvThumb.jpg	(from http://www.narrowdesign.com/)
18:20:41	120860/120860	---M--	200	added ('OK')	application/javascript	etag:%22f9eabc9b471e9850d93d31e375144014%22	http://platform.twitter.com/widgets.js	/storage/emulated/0/HTTrack/Websites/stlye/platform.twitter.com/widgets.js	(from http://www.narrowdesign.com/)
18:20:42	17590/17590	---M--	200	added ('OK')	image/jpeg	etag:%229e0b151-44b6-54f42902f2d40%22	http://www.narrowdesign.com/ui/assets/images/projects/prometheusThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/prometheusThumb.jpg	(from http://www.narrowdesign.com/)
18:20:46	15911/15911	---M--	200	added ('OK')	image/jpeg	etag:%229e0b0d1-3e27-54f428fd39fc0%22	http://www.narrowdesign.com/ui/assets/images/projects/nfcThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/nfcThumb.jpg	(from http://www.narrowdesign.com/)
18:20:48	18149/18149	---M--	200	added ('OK')	image/jpeg	etag:%229e0b081-46e5-54f428f781240%22	http://www.narrowdesign.com/ui/assets/images/projects/gridThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/gridThumb.jpg	(from http://www.narrowdesign.com/)
18:20:50	9026/9026	---M--	200	added ('OK')	image/jpeg	etag:%229e0b19e-2342-54f42907b7880%22	http://www.narrowdesign.com/ui/assets/images/projects/spentThumb.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/spentThumb.jpg	(from http://www.narrowdesign.com/)
18:20:56	326253/326253	---M--	200	added ('OK')	image/jpeg	etag:%229e0adb8-4fa6d-54f8f3e700680%22	https://narrowdesign.com/ui/assets/images/nj1.jpg	/storage/emulated/0/HTTrack/Websites/stlye/narrowdesign.com/ui/assets/images/nj1.jpg	(from http://www.narrowdesign.com/)
18:21:02	87218/87218	---M--	200	added ('OK')	image/jpeg	etag:%229e0afe5-154b2-54f428eeebe00%22	http://www.narrowdesign.com/ui/assets/images/projects/got3.jpg	/storage/emulated/0/HTTrack/Websites/stlye/www.narrowdesign.com/ui/assets/images/projects/got3.jpg	(from http://www.narrowdesign.com/)
